epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2301.94,0.21077,2.19367,0.8467,0.03996,0.992,0.07659,0.07346,0.25174,2.2689,0.79913,5.27805e-05,5.27805e-05,5.27805e-05
87,2324.78,0.2047,2.20238,0.8491,0.04005,0.992,0.07748,0.07428,0.25004,2.28275,0.79887,4.94838e-05,4.94838e-05,4.94838e-05
88,2345.16,0.21225,2.19263,0.84603,0.04015,0.992,0.08249,0.0791,0.25749,2.31201,0.79605,4.61871e-05,4.61871e-05,4.61871e-05
89,2367.38,0.21191,2.19736,0.84387,0.0402,0.992,0.08104,0.07744,0.26682,2.29607,0.80123,4.28904e-05,4.28904e-05,4.28904e-05
90,2388.07,0.20937,2.19871,0.8452,0.0401,0.992,0.08774,0.08409,0.25722,2.29751,0.79481,3.95937e-05,3.95937e-05,3.95937e-05
91,2412.58,0.14394,2.17041,0.80207,0.03994,0.992,0.07628,0.07356,0.25418,2.28196,0.80129,3.6297e-05,3.6297e-05,3.6297e-05
92,2433.76,0.14306,2.15825,0.79098,0.03941,0.992,0.08661,0.08443,0.26077,2.28372,0.80617,3.30003e-05,3.30003e-05,3.30003e-05
93,2455.38,0.14003,2.14393,0.80261,0.03997,0.992,0.09548,0.09306,0.25639,2.2865,0.79725,2.97036e-05,2.97036e-05,2.97036e-05
94,2475.35,0.14124,2.1455,0.81449,0.04004,0.992,0.09359,0.09142,0.25976,2.27915,0.79677,2.64069e-05,2.64069e-05,2.64069e-05
95,2497.17,0.13749,2.15173,0.79397,0.03992,0.992,0.0888,0.08672,0.26446,2.30083,0.81031,2.31102e-05,2.31102e-05,2.31102e-05
96,2517.45,0.13612,2.14841,0.80117,0.03999,0.992,0.088,0.086,0.26189,2.28321,0.80309,1.98135e-05,1.98135e-05,1.98135e-05
97,2538.52,0.13607,2.13977,0.80673,0.03998,0.992,0.08736,0.08553,0.25474,2.27559,0.80371,1.65168e-05,1.65168e-05,1.65168e-05
98,2558.26,0.13809,2.13973,0.79986,0.03999,0.992,0.092,0.09024,0.25057,2.28554,0.79762,1.32201e-05,1.32201e-05,1.32201e-05
99,2579.62,0.13508,2.14228,0.79747,0.03992,0.992,0.0898,0.08807,0.25102,2.27699,0.79648,9.9234e-06,9.9234e-06,9.9234e-06
100,2599.56,0.13571,2.14503,0.81406,0.03997,0.992,0.09156,0.08972,0.25384,2.28137,0.79668,6.6267e-06,6.6267e-06,6.6267e-06
